                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.60233,                 0.5741,                 1.0617,                0.92527,                0.87633,                0.93533,                0.81847,                0.46067,                0.35691,                0.96965,              0.0060004,              0.0060004,              0.0060004
                    104,                0.60768,                0.57624,                 1.0648,                0.92475,                 0.8756,                0.93599,                 0.8198,                0.46056,                 0.3567,                0.96934,              0.0059608,              0.0059608,              0.0059608
                    105,                0.60295,                0.57266,                 1.0618,                0.92611,                0.87534,                0.93633,                0.82021,                0.46058,                0.35615,                0.96919,              0.0059212,              0.0059212,              0.0059212
                    106,                0.60045,                0.56989,                 1.0596,                0.92612,                 0.8754,                0.93675,                0.82053,                0.46002,                0.35517,                0.96881,              0.0058816,              0.0058816,              0.0058816
                    107,                0.59652,                0.56936,                  1.059,                0.92558,                0.87622,                0.93683,                0.81998,                0.45976,                0.35453,                0.96856,               0.005842,               0.005842,               0.005842
                    108,                0.60151,                 0.5654,                 1.0613,                0.92963,                0.87413,                0.93692,                0.82075,                0.45951,                0.35402,                0.96838,              0.0058024,              0.0058024,              0.0058024
                    109,                0.59727,                0.56618,                 1.0591,                 0.9301,                0.87474,                0.93713,                0.82051,                  0.459,                0.35346,                  0.968,              0.0057628,              0.0057628,              0.0057628
                    110,                0.60047,                0.56587,                   1.06,                0.93093,                0.87454,                0.93747,                0.82096,                0.45871,                0.35259,                0.96765,              0.0057232,              0.0057232,              0.0057232
                    111,                0.59849,                0.56297,                 1.0565,                0.92895,                0.87561,                0.93764,                0.82188,                0.45839,                 0.3518,                0.96729,              0.0056836,              0.0056836,              0.0056836
                    112,                 0.5956,                0.56164,                 1.0571,                0.92944,                0.87433,                0.93792,                0.82281,                0.45823,                0.35125,                 0.9671,               0.005644,               0.005644,               0.005644
                    113,                 0.5999,                0.56449,                   1.06,                0.92952,                 0.8744,                0.93797,                0.82199,                0.45797,                0.35105,                0.96696,              0.0056044,              0.0056044,              0.0056044
                    114,                0.59386,                0.55895,                  1.057,                0.92948,                0.87317,                0.93812,                0.82269,                0.45756,                0.35038,                0.96668,              0.0055648,              0.0055648,              0.0055648
                    115,                0.59636,                0.55445,                  1.057,                0.92875,                0.87352,                0.93767,                0.82295,                 0.4573,                0.35013,                0.96632,              0.0055252,              0.0055252,              0.0055252
                    116,                0.59818,                0.55985,                 1.0579,                0.93047,                0.87267,                0.93797,                0.82287,                0.45681,                0.34956,                0.96578,              0.0054856,              0.0054856,              0.0054856
                    117,                0.59333,                0.55959,                 1.0564,                0.92841,                0.87459,                0.93776,                0.82291,                0.45642,                0.34946,                0.96548,               0.005446,               0.005446,               0.005446
                    118,                0.59917,                0.56049,                 1.0591,                0.93294,                0.86822,                0.93823,                0.82376,                0.45624,                0.34924,                0.96535,              0.0054064,              0.0054064,              0.0054064
                    119,                0.59445,                0.55388,                 1.0573,                0.93041,                0.87132,                0.93867,                0.82505,                0.45614,                0.34914,                0.96501,              0.0053668,              0.0053668,              0.0053668
                    120,                0.59286,                0.55136,                 1.0547,                0.93076,                0.87396,                0.93869,                 0.8261,                0.45589,                0.34872,                0.96484,              0.0053272,              0.0053272,              0.0053272
                    121,                0.59468,                0.55338,                 1.0563,                0.93111,                0.87337,                0.93912,                0.82612,                 0.4557,                 0.3489,                0.96479,              0.0052876,              0.0052876,              0.0052876
                    122,                0.59119,                0.55311,                 1.0557,                0.93053,                0.87447,                0.93957,                 0.8262,                 0.4556,                0.34885,                0.96479,               0.005248,               0.005248,               0.005248
                    123,                0.59244,                0.55209,                 1.0571,                0.92726,                0.87485,                0.93951,                0.82519,                0.45524,                0.34854,                0.96443,              0.0052084,              0.0052084,              0.0052084
                    124,                0.59179,                0.54832,                 1.0543,                0.92744,                0.87509,                0.93997,                0.82523,                0.45544,                0.34844,                0.96449,              0.0051688,              0.0051688,              0.0051688
                    125,                0.59151,                0.55024,                 1.0537,                0.92554,                 0.8765,                0.93997,                0.82553,                0.45542,                0.34807,                0.96439,              0.0051292,              0.0051292,              0.0051292
                    126,                0.58735,                0.54618,                 1.0537,                0.93459,                0.86537,                0.93983,                0.82458,                0.45528,                0.34761,                0.96415,              0.0050896,              0.0050896,              0.0050896
                    127,                0.58948,                0.54963,                 1.0532,                0.93485,                0.86654,                0.93995,                0.82465,                0.45495,                0.34752,                0.96389,                0.00505,                0.00505,                0.00505
                    128,                0.59134,                 0.5491,                 1.0577,                 0.9368,                0.87017,                0.94049,                0.82432,                0.45442,                 0.3471,                0.96327,              0.0050104,              0.0050104,              0.0050104
                    129,                0.59115,                0.54586,                 1.0542,                0.93546,                0.86971,                0.94053,                0.82495,                0.45429,                0.34669,                0.96318,              0.0049708,              0.0049708,              0.0049708
                    130,                0.59194,                0.53933,                 1.0542,                0.93302,                0.87567,                0.94038,                0.82354,                0.45411,                0.34644,                0.96307,              0.0049312,              0.0049312,              0.0049312
                    131,                0.59124,                0.54407,                 1.0538,                0.93341,                0.87418,                0.94059,                0.82272,                0.45372,                0.34574,                0.96272,              0.0048916,              0.0048916,              0.0048916
                    132,                0.58636,                0.54252,                 1.0521,                0.93956,                0.87019,                0.94097,                0.82177,                0.45369,                0.34547,                0.96235,               0.004852,               0.004852,               0.004852
